customer_id,snapshot_date,churned,arr,plan,seats,monthly_logins,support_tickets,nps_score,days_since_last_login,contract_months_remaining,industry,company_size,days_until_renewal,auto_renew_flag,renewal_status,arr_tier,engagement_score,contract_urgency,renewal_window_90d,renewal_window_30d,renewal_risk_multiplier,probability,tier,rank,value_at_risk,churn_risk_pct,renewal_window_label,urgency_score,arr_at_risk,recommended_action,account_status
CUST-21433,2024-07-07,1,171922,Enterprise,20,162,2,9,1,21,Gaming,1000+,650,1,cancelled,high_value,0.043200205515037504,safe,0,0,0.5,0.45879636068804464,Medium Risk,128,78877.18792221001,45.9,>90d,45.9,78877.19,CSM check-in + usage review,archived_cancelled
CUST-20094,2024-01-11,1,153635,Enterprise,108,860,2,8,0,9,EdTech,51-200,315,1,cancelled,high_value,0.23131616023260984,upcoming,0,0,0.5,0.4996230652480695,Medium Risk,75,76759.58962938716,50.0,>90d,50.0,76759.59,CSM check-in + usage review,archived_cancelled
CUST-21537,2024-08-25,1,154966,Enterprise,70,545,1,6,20,12,Media,1-10,320,1,in_notice,high_value,0.14827984835202052,upcoming,0,0,0.5,0.456417049032367,Medium Risk,129,70729.12442034979,45.6,>90d,45.6,70729.12,CSM check-in + usage review,archived_cancelled
CUST-21236,2024-07-28,1,152458,Enterprise,28,250,1,5,3,15,SaaS,1000+,397,1,cancelled,high_value,0.06356047890533291,safe,0,0,0.5,0.46158335381216375,Medium Risk,123,70372.07495549486,46.2,>90d,46.2,70372.07,CSM check-in + usage review,archived_cancelled
CUST-20050,2024-08-17,1,167367,Enterprise,15,124,2,3,44,18,SaaS,201-1000,598,0,in_notice,high_value,0.03273207128975662,safe,0,0,1.0,0.39775828786107675,Low Risk,236,66571.61136444483,39.8,>90d,39.8,66571.61,Monitor,archived_cancelled
CUST-21670,2024-01-06,1,146608,Enterprise,19,147,2,6,14,1,FinTech,51-200,32,1,cancelled,high_value,0.04012410389568499,critical,1,0,0.75,0.45369464335066345,Medium Risk,136,66515.26427235406,45.4,30-90d,81.7,66515.26,CSM check-in + usage review,archived_cancelled
CUST-20428,2024-08-31,1,136145,Enterprise,1,4,1,3,7,9,E-commerce,51-200,323,0,cancelled,high_value,0.0016156661440471488,upcoming,0,0,1.0,0.4856707884985679,Medium Risk,93,66121.64950013753,48.6,>90d,48.6,66121.65,CSM check-in + usage review,archived_cancelled
CUST-21972,2024-03-17,1,143104,Enterprise,33,265,2,4,1,23,SaaS,11-50,724,1,cancelled,high_value,0.07097497531861166,safe,0,0,0.5,0.4418850025348543,Medium Risk,154,63235.51140274779,44.2,>90d,44.2,63235.51,CSM check-in + usage review,archived_cancelled
CUST-20995,2025-03-01,1,185956,Enterprise,62,476,2,1,3,1,HR Tech,201-1000,-30,1,active,high_value,0.13044214532816167,critical,1,1,1.0,0.33758690913764633,Low Risk,381,62776.31127560016,33.8,<30d,100.0,62776.31,Monitor,archived_cancelled
CUST-20299,2025-05-15,1,156903,Enterprise,2,12,1,2,4,11,HR Tech,51-200,332,1,cancelled,high_value,0.003762399733659884,upcoming,0,0,0.5,0.39687908685197576,Low Risk,240,62271.51936433555,39.7,>90d,39.7,62271.52,Monitor,archived_cancelled
