customer_id,snapshot_date,churned,arr,plan,seats,monthly_logins,support_tickets,nps_score,days_since_last_login,contract_months_remaining,industry,company_size,probability,tier,rank,value_at_risk,churn_risk_pct,renewal_window_label,urgency_score,arr_at_risk,recommended_action,account_status
CUST-20886,2024-01-15,1,165757,Enterprise,109,849,2,6,11,3,E-commerce,51-200,0.3512835650865278,Low Risk,6,58227.709898047586,35.1,unknown,35.1,58227.71,Monitor,archived_cancelled
CUST-20528,2024-08-26,1,211454,Enterprise,35,276,0,6,13,20,E-commerce,1-10,0.26109259825919195,Low Risk,161,55209.07427229918,26.1,unknown,26.1,55209.07,Monitor,archived_cancelled
CUST-21786,2024-07-09,1,178760,Enterprise,124,977,4,6,4,7,E-commerce,201-1000,0.3032161299162624,Low Risk,39,54202.91538383107,30.3,unknown,30.3,54202.92,Monitor,archived_cancelled
CUST-21953,2024-04-17,1,170561,Enterprise,9,79,1,3,49,0,SaaS,1000+,0.3118599824824993,Low Risk,31,53191.150472197565,31.2,unknown,31.2,53191.15,Monitor,archived_cancelled
CUST-21880,2024-04-08,1,179997,Enterprise,84,684,1,9,0,10,Gaming,201-1000,0.27036006375903326,Low Risk,125,48664.00039643471,27.0,unknown,27.0,48664.0,Monitor,archived_cancelled
CUST-21992,2024-09-17,1,151893,Enterprise,9,78,3,7,16,0,Gaming,201-1000,0.29710988163364344,Low Risk,49,45128.911250979,29.7,unknown,29.7,45128.91,Monitor,archived_cancelled
CUST-20118,2024-03-30,1,152868,Enterprise,98,763,5,7,41,1,MarTech,11-50,0.2915543615186681,Low Risk,59,44569.332136635756,29.2,unknown,29.2,44569.33,Monitor,archived_cancelled
CUST-21078,2024-10-04,1,168399,Enterprise,63,466,3,5,3,0,SaaS,11-50,0.2532729970597265,Low Risk,193,42650.919431860886,25.3,unknown,25.3,42650.92,Monitor,archived_cancelled
CUST-21003,2024-09-24,1,146850,Enterprise,29,216,2,8,9,0,Gaming,1-10,0.28761078227067854,Low Risk,67,42235.643376449145,28.8,unknown,28.8,42235.64,Monitor,archived_cancelled
CUST-21164,2024-03-10,1,120614,Enterprise,75,660,4,5,10,3,EdTech,201-1000,0.3304152458692565,Low Risk,15,39852.70446527451,33.0,unknown,33.0,39852.7,Monitor,archived_cancelled
CUST-20712,2024-03-17,1,114894,Enterprise,141,1100,5,2,0,9,EdTech,51-200,0.34146655491600714,Low Risk,8,39232.458360519726,34.1,unknown,34.1,39232.46,Monitor,archived_cancelled
CUST-20412,2024-11-15,1,128939,Enterprise,62,536,0,7,11,3,E-commerce,1-10,0.29689129578591167,Low Risk,52,38280.86678733966,29.7,unknown,29.7,38280.87,Monitor,archived_cancelled
CUST-20799,2024-01-16,1,147461,Enterprise,141,1096,1,7,20,11,Media,1-10,0.25749926341678453,Low Risk,173,37971.09888270246,25.7,unknown,25.7,37971.1,Monitor,archived_cancelled
CUST-21132,2024-02-14,0,201996,Enterprise,283,2271,3,5,23,1,Logistics,11-50,0.18377919378960872,Low Risk,497,37122.662028725805,18.4,unknown,18.4,37122.66,Monitor,active
CUST-21148,2025-06-08,0,190774,Enterprise,121,1001,1,6,6,2,Media,1-10,0.1929445484268099,Low Risk,440,36808.80328157623,19.3,unknown,19.3,36808.8,Monitor,active
CUST-21391,2024-05-31,1,132907,Enterprise,30,212,1,6,34,11,HR Tech,1-10,0.270044117286243,Low Risk,128,35890.753496162695,27.0,unknown,27.0,35890.75,Monitor,archived_cancelled
CUST-20111,2024-09-20,1,126600,Enterprise,13,130,0,3,27,2,MarTech,11-50,0.2829611102058113,Low Risk,79,35822.876552055706,28.3,unknown,28.3,35822.88,Monitor,archived_cancelled
CUST-21012,2024-11-05,0,198660,Enterprise,195,1539,2,7,41,0,EdTech,201-1000,0.16977044776133074,Low Risk,576,33726.59715226597,17.0,unknown,17.0,33726.6,Monitor,active
CUST-20475,2025-05-08,0,155335,Enterprise,340,2736,1,7,9,8,Gaming,1000+,0.2107879900604233,Low Risk,365,32742.752436035855,21.1,unknown,21.1,32742.75,Monitor,active
CUST-21146,2025-04-26,0,132022,Enterprise,86,704,3,6,8,1,E-commerce,51-200,0.2452280276174966,Low Risk,229,32375.494662117137,24.5,unknown,24.5,32375.49,Monitor,active
CUST-21302,2025-02-21,1,122264,Enterprise,74,614,4,6,12,9,E-commerce,51-200,0.26219139603371105,Low Risk,154,32056.56884466565,26.2,unknown,26.2,32056.57,Monitor,archived_cancelled
CUST-20495,2025-01-06,1,128301,Enterprise,8,70,2,5,16,3,HR Tech,1000+,0.2474211480785799,Low Risk,217,31744.38071962988,24.7,unknown,24.7,31744.38,Monitor,archived_cancelled
CUST-20085,2025-01-21,0,184109,Enterprise,115,913,2,9,19,3,Gaming,201-1000,0.16691036854313293,Low Risk,593,30729.70104210766,16.7,unknown,16.7,30729.7,Monitor,active
CUST-20249,2024-07-31,1,106548,Enterprise,101,859,0,5,0,13,HR Tech,201-1000,0.28035402558945477,Low Risk,88,29871.160718505227,28.0,unknown,28.0,29871.16,Monitor,archived_cancelled
CUST-21974,2024-05-25,0,144819,Enterprise,64,477,0,6,12,2,Logistics,1-10,0.1939449986652832,Low Risk,434,28086.920761707646,19.4,unknown,19.4,28086.92,Monitor,active
CUST-20561,2024-03-14,0,212178,Enterprise,65,483,1,7,8,9,HR Tech,1000+,0.13036330844656277,Low Risk,941,27660.226059574794,13.0,unknown,13.0,27660.23,Monitor,active
CUST-20294,2025-02-22,1,112046,Enterprise,108,879,1,5,42,7,SaaS,1000+,0.24577933838221827,Low Risk,227,27538.591748374027,24.6,unknown,24.6,27538.59,Monitor,archived_cancelled
CUST-20617,2024-06-13,0,217988,Enterprise,144,1119,2,8,4,0,SaaS,11-50,0.12383804295547854,Low Risk,1016,26995.207307778855,12.4,unknown,12.4,26995.21,Monitor,active
CUST-21523,2024-06-15,0,130335,Enterprise,13,88,0,6,22,0,HR Tech,11-50,0.2025107286423883,Low Risk,395,26394.23581760568,20.3,unknown,20.3,26394.24,Monitor,active
CUST-21636,2024-06-26,0,172879,Enterprise,84,650,3,6,2,6,E-commerce,1-10,0.14993293073785777,Low Risk,729,25920.255133030114,15.0,unknown,15.0,25920.26,Monitor,active
CUST-21517,2024-06-07,0,138318,Enterprise,72,596,3,7,9,1,E-commerce,201-1000,0.18529603689204657,Low Risk,486,25629.777230834097,18.5,unknown,18.5,25629.78,Monitor,active
CUST-21598,2025-03-24,0,201304,Enterprise,49,349,0,7,7,7,MarTech,51-200,0.12432917104844002,Low Risk,1012,25027.959448735168,12.4,unknown,12.4,25027.96,Monitor,active
CUST-20776,2024-02-09,0,152107,Enterprise,13,107,4,5,5,1,EdTech,201-1000,0.16225937144058866,Low Risk,637,24680.78621171362,16.2,unknown,16.2,24680.79,Monitor,active
CUST-21769,2024-07-05,0,160529,Enterprise,7,49,1,6,15,9,HR Tech,1-10,0.15136693795871003,Low Risk,717,24298.783183573763,15.1,unknown,15.1,24298.78,Monitor,active
CUST-20477,2025-06-03,0,118725,Enterprise,102,812,1,1,17,10,Logistics,1000+,0.20150683141251657,Low Risk,398,23923.89855945103,20.2,unknown,20.2,23923.9,Monitor,active
CUST-21084,2025-06-22,0,141504,Enterprise,80,657,6,4,10,10,SaaS,201-1000,0.1665367430423741,Low Risk,595,23565.615287468103,16.7,unknown,16.7,23565.62,Monitor,active
CUST-20941,2024-02-07,1,92177,Enterprise,146,1227,1,6,23,1,Logistics,1-10,0.2549519449174875,Low Risk,183,23500.705426659246,25.5,unknown,25.5,23500.71,Monitor,archived_cancelled
CUST-21114,2024-07-30,0,116470,Enterprise,91,751,1,6,10,0,SaaS,11-50,0.20147638467976314,Low Risk,399,23465.954523652013,20.1,unknown,20.1,23465.95,Monitor,active
CUST-20694,2025-03-26,1,172373,Enterprise,36,298,2,3,29,2,HR Tech,201-1000,0.13369421747524068,Low Risk,894,23045.273348859664,13.4,unknown,13.4,23045.27,Monitor,archived_cancelled
CUST-21803,2025-04-25,0,199535,Enterprise,9,61,2,4,5,1,EdTech,11-50,0.11476054542496597,Low Risk,1119,22898.745431370586,11.5,unknown,11.5,22898.75,Monitor,active
CUST-20322,2025-02-17,0,198117,Enterprise,42,327,0,4,6,2,Gaming,1-10,0.1155532286513424,Low Risk,1107,22893.059000718004,11.6,unknown,11.6,22893.06,Monitor,active
