game_id,date,start_time,locked_at,team_picked,prob,tier,market,result,odds_used,units_change,cum_units,drawdown
69d971ab3826cab2feb87672c81b99cc,2026-02-06,2026-02-07T00:40:00+00:00,2026-02-06T18:40:00.874000+00:00,New York Knicks,0.88,Strong Lean,moneyline,loss,-118,-1.0,-1.0,-1.0
c9fbb4841a8939ef25c00d8012bf66d1,2026-02-06,2026-02-07T01:10:00+00:00,2026-02-06T19:10:00.869000+00:00,Milwaukee Bucks,0.85,Strong Lean,moneyline,win,104,1.04,0.04,0.0
ca2f6578b0d06d2a06e2eb5cee12fd8e,2026-02-06,2026-02-07T01:10:00+00:00,2026-02-06T19:10:00.869000+00:00,New Orleans Pelicans,0.82,Strong Lean,moneyline,win,340,3.4,3.44,0.0
ef8ae24fd705cab52010cac25b6abbba,2026-02-06,2026-02-07T03:00:00+00:00,2026-02-06T21:00:00.374000+00:00,Memphis Grizzlies,1.0,70%+,moneyline,loss,215,-1.0,2.44,-1.0
e3d5928f680f116697bc4e6bb16f5862,2026-02-06,2026-02-07T03:10:00+00:00,2026-02-06T21:10:00.966000+00:00,Sacramento Kings,0.92,Strong Lean,moneyline,loss,140,-1.0,1.44,-2.0
b321b271a38a3a225bb32d4cda89c2ca,2026-02-07,2026-02-07T20:10:00+00:00,2026-02-07T19:05:00.893000+00:00,Washington Wizards,0.65,65-70%,moneyline,loss,158,-1.0,0.44,-3.0
734128222c2a03269132090adb3c593d,2026-02-07,2026-02-07T20:40:00+00:00,2026-02-07T14:40:00.686000+00:00,Oklahoma City Thunder,0.65,65-70%,moneyline,loss,-142,-1.0,-0.56,-4.0
b69d85cac76c01181ada3299bc50ed54,2026-02-07,2026-02-07T23:10:00+00:00,2026-02-07T17:10:00.610000+00:00,Dallas Mavericks,1.0,Strong Lean,moneyline,loss,330,-1.0,-1.56,-5.0
a54af649958eb60284f57114fdeeb472,2026-02-07,2026-02-08T00:10:00+00:00,2026-02-07T18:10:00.585000+00:00,Utah Jazz,0.74,Strong Lean,moneyline,loss,265,-1.0,-2.56,-6.0
05cf7fd60949a0c52340284b261ae851,2026-02-07,2026-02-08T00:40:00+00:00,2026-02-07T18:40:00.985000+00:00,Atlanta Hawks,0.84,Strong Lean,moneyline,loss,110,-1.0,-3.56,-7.0
e9a14346272a3fc89154cc1bf1c5da1b,2026-02-07,2026-02-08T01:10:00+00:00,2026-02-07T19:10:00.600000+00:00,Chicago Bulls,0.7,Strong Lean,moneyline,loss,168,-1.0,-4.56,-8.0
e4c99c288d8e1b1baf8bd7af1678ddb5,2026-02-07,2026-02-08T03:10:00+00:00,2026-02-07T21:10:00.497000+00:00,Memphis Grizzlies,1.0,70%+,moneyline,loss,285,-1.0,-5.56,-9.0
7b28a8f5733ef01c824181e1b5a42341,2026-02-07,2026-02-08T03:10:00+00:00,2026-02-07T21:10:00.497000+00:00,Sacramento Kings,1.0,Strong Lean,moneyline,loss,490,-1.0,-6.56,-10.0
c2aacc97e9c2f14777db6a947e5b0772,2026-02-08,2026-02-08T17:40:00+00:00,2026-02-08T16:10:01.190000+00:00,Boston Celtics,0.62,60-65%,moneyline,loss,-164,-1.0,-7.56,-11.0
c7739a581c938fedf4dd128cb53f31dc,2026-02-08,2026-02-08T19:10:00+00:00,2026-02-08T13:10:01.313000+00:00,Washington Wizards,0.92,Strong Lean,moneyline,loss,385,-1.0,-8.56,-12.0
9a4bb2e3bc9fd308b6e40f29e43ab2f1,2026-02-08,2026-02-08T20:10:00+00:00,2026-02-08T14:10:01.664000+00:00,Indiana Pacers,0.94,70%+,moneyline,loss,290,-1.0,-9.56,-13.0
8864122f2c28fd6b7621c0ee000c41fc,2026-02-08,2026-02-08T20:10:00+00:00,2026-02-08T14:10:01.664000+00:00,Los Angeles Clippers,0.75,Strong Lean,moneyline,win,265,2.65,-6.91,-10.35
8cfa733d2c4b4d6bc9b588892a933983,2026-02-22,2026-02-22T20:40:00+00:00,2026-02-22T20:20:00.445000+00:00,Atlanta Hawks,0.81,70%+,moneyline,win,-400,0.25,-6.66,-10.1
439a6986fb7fa87228b403c29d22f4b6,2026-02-22,2026-02-23T00:10:00+00:00,2026-02-22T23:50:03.942000+00:00,Minnesota Timberwolves,0.81,Strong Lean,moneyline,loss,-360,-1.0,-7.66,-11.1
